date,gdp,unemp,ffr,infl,inv,cons,lab,lab_share,lab_prod,tfp,ff4,onrun10,ir_1,ir_2,ir_3,rr_1,rr_2,rr_3,rr_4,gk_var_1,gk_var_2,mp1_tc,ff4_tc,ed2_tc,ed3_tc,ed4_tc,ff1_vr,ff4_vr,ed2_vr,ff1_gkgreen,ff4_gkgreen,ed2_gkgreen,mar_raw,mar_svariv,ad,lpcom
1993.25,10.54949071,7.066666667,0.75,0.005929362,9.126532368,9.985615868,17.67455143,4.704445223,4.17287844,4.188138442,-0.0067,-0.005,,,,0.33470071,0.3347189,0.324682,0.357529469,0.019744244,0.018536472,-0.00861,-0.006666667,-0.006666667,-0.006666667,-0.0001075,-0.003333333,-0.006666667,-0.006666667,-0.002528233,-0.002975767,-0.002495167,0.004786067,0.256468544,0.042776616,5.460231765
1993.5,10.55085254,6.8,0.765,0.005923362,9.123736185,9.990486471,17.67439918,4.697567035,4.177152673,4.17373321,0.0067,0.0033,,,,0.21247298,0.2124604,0.2725431,0.260184472,-0.114246996,-0.016808682,0.008986633,0.004333333,0.003333333,-0.001,0.004666633,0.006666667,0.006666667,0.003333333,0.003575767,0.0157671,0.0045852,0.032557567,-0.053661887,-0.00547804,5.462333087
1993.75,10.56116298,6.633333333,0.7475,0.005442289,9.158739241,9.995529124,17.68056222,4.695467824,4.181026718,4.187872852,-0.0033,-0.004,,,,-0.25043579,-0.24988,-0.1834657,-0.191399963,-0.081622725,-0.033258755,0.007693367,0.001258067,0,-0.002333333,-0.013268767,0.003333333,-0.003333333,0,-0.017331667,-0.020665567,-0.020378867,-0.008658033,-0.29860094,-0.057366017,5.487001582
1994,10.56813237,6.566666667,0.803333333,0.004768274,9.189806181,10.0007364,17.6805161,4.683334207,4.183865288,4.173579251,0,0.0027,,,,0.53727095,0.5374958,0.5886676,0.5202316,0.091623933,0.025695508,0.054442267,-0.002258067,0.044623667,0.041290333,0.029892467,0.046666667,0,0.033333333,0.038274067,0.007851233,0.0236068,-0.015418267,0.708188835,0.06869296,5.525048046
1994.25,10.57867441,6.2,0.985,0.004816944,9.223878714,10.00597338,17.68970918,4.686187803,4.184748788,4.171421337,0.0567,-0.0153,,,,0.28719449,0.2875828,0.3189584,0.36233842,0.101439804,0.037004727,0.086907733,0.056666633,-0.007956967,-0.004623633,-0.004623633,0.03667,0.056666667,0.003333333,0.0069422,0.0126305,-0.027230833,0.063898033,1.075226592,0.092360788,5.54306912
1994.5,10.58126726,6,1.121666667,0.005715845,9.210846244,10.01033771,17.69513008,4.68533904,4.179083916,4.168872089,-0.01,-0.0027,,,,0.52816472,0.5284312,0.5814388,0.714354218,0.119786946,0.029914224,0.0207967,-0.0013333,0.0091111,0.0062222,0.003333333,0,-0.01,0.003333333,-0.004667467,0.005155133,0.004957267,-0.0074112,0.710818509,0.055151636,5.575586769
1994.75,10.58961012,5.633333333,1.291666667,0.005415469,9.24253647,10.01513447,17.69898344,4.677481545,4.189518369,4.181057284,0.01,-0.002,,,,0.30080592,0.3019767,0.3894201,0.418633791,0.244679774,0.060026954,-0.015091667,0.011548367,0.008845867,0.008401433,0.012580667,-0.006666667,0.01,0.016666667,-0.0211606,-0.004340767,-0.0026158,0.011468167,1.287145022,0.107332125,5.618419154
1995,10.59046574,5.466666667,1.4525,0.005414351,9.239538527,10.01776472,17.69404293,4.678550751,4.190260619,4.184337601,0.0067,0.016,0.0238735,-0.0319522,0.219239592,0.74217244,0.742304,0.7535121,0.717240033,-0.141713179,-0.022535979,-0.025748467,-0.009354833,0.019569867,0.022903233,0.0249462,0.023336667,0.006666667,0.023333333,0.027814733,0.015989567,0.026181867,-0.001598,-0.074132973,0.089363614,5.658137445
1995.25,10.59061666,5.666666667,1.505,0.004785167,9.224124927,10.0249828,17.68226627,4.67787217,4.194913617,4.199867565,0,0.0007,-0.052524267,0.050220763,-0.138414217,0.20918393,0.2095426,0.2281154,0.157238114,-0.126474076,-0.025448482,-0.002899897,0.005806433,0.0024731,0.0024731,0.005806433,0,0,-0.003333333,0.0118858,0.0122964,0.010723467,0.005680533,-0.53583923,0.011649523,5.66943341
1995.5,10.59585943,5.666666667,1.449166667,0.004915178,9.225438421,10.02846346,17.68930372,4.680129224,4.194823181,4.202413906,-0.04,-0.0253,0.021266767,-0.039099563,-0.148471127,-0.0717443,-0.0714447,0.0352156,0.032117803,-0.06969596,-0.020293337,-0.0240561,-0.048333333,-0.066666667,-0.062222233,-0.063888867,-0.026666667,-0.04,-0.05,-0.002181667,-0.0151766,-0.019191567,-0.027427233,-0.212808269,-0.036955267,5.678942848
1995.75,10.59955546,5.566666667,1.43,0.004808201,9.236977629,10.03039426,17.68559019,4.680286935,4.200324886,4.205811396,-0.0167,0.0027,-0.063405767,-0.00241752,0.091069033,-0.11845569,-0.1181902,-0.013886,-0.164964502,0.032221342,0.018202334,0.009028167,0.0013441,0.022473167,0.024695333,0.018297467,-0.005,-0.016666667,0,0.0134627,0.000365067,0.005907633,-0.003204733,-0.15509639,-0.063939212,5.681468561
1996,10.6045285,5.533333333,1.340833333,0.00479895,9.241950661,10.03889463,17.68423083,4.681733,4.206511859,4.230185785,-0.0033,-0.004,0.027068267,-0.05437105,0.004364387,0.12977887,0.1295553,0.1398095,0.121883922,0.023867115,-0.025674731,-0.026856867,-0.015699533,-0.011828,-0.0145161,-0.020430067,0,-0.003336667,-0.003333333,0.0075707,-0.001051267,0.0032517,0.000757533,-0.093525186,-0.042164514,5.656419072
1996.25,10.61822498,5.5,1.310833333,0.004132322,9.274990106,10.04729543,17.6902592,4.67736991,4.216193395,4.219544469,0,0.004,-0.006178267,0.0050758,0.025744163,-0.02691964,-0.0268014,0.0037818,-0.019197248,0.046430918,-0.001214326,0.002684827,0.002685467,0.009354833,0.008709667,0.009354833,0,0,0.006666667,-0.002185167,-0.003472967,0.001906133,0.006087167,0.055570719,-0.016752467,5.717111851
1996.5,10.62390938,5.266666667,1.326666667,0.003269027,9.295883922,10.05297983,17.69628494,4.677844273,4.21980178,4.21888251,-0.0533,-0.0097,0.033245233,-0.1528371,0.244983595,-0.14774214,-0.1483107,-0.0270068,0.015594675,0.023478459,-0.008356191,-0.04272,-0.0201111,-0.013666633,-0.0021111,-0.0062222,-0.03333,-0.053333333,-0.036666667,-0.031050267,-0.0450943,-0.0410038,-0.0316852,0.081751203,-0.044341833,5.740109577
